channel_id,all_comment_count,eng_comment_count
UC2SqHs9JwrwjuV6HLD3W9sQ,2,1
UC2UXDak6o7rBm23k3Vv5dww,30,23
UC2WuPTt0k8yDJpfenggOAVQ,28,12
UC2Zs9v2hL2qZZ7vsAENsg4w,7,6
UC2a6HBSxlWXKXjPVoKLxc2g,9,8
UC2aG3ddqJs7GU-Fq0ETgSLg,30,2
UC2cL3pI1H3tiozKif6A8fmA,29,20
UC2dxiip2L5FipdwX2i93MKw,34,4
UC2gzGsZhfo_BmCI4fsETH7w,112,31
UC2iUwfYi_1FCGGqhOUNx-iA,32,25
UC2ih0UcIYcDxU1-gB68W1PA,62,42
UC2jOcQnwJDw5D25dMFrIUJQ,29,16
UC2prVaTYvPljklrty7GBZ1g,23,13
UC2qKQjnZI_tnG7XemGBOHxQ,37,31
UC2sLtDxcntvFq2ARAVoprLg,61,29
UC2vhx3TcmtbKhJmgvQNdPHg,16,10
UC2wTnMBvQ_TH0qn5rJl8hWQ,28,23
UC2xBh2nwvOwBqnA1tEbPCZw,59,49
UC2xj044cgBpoXOnfQZhO5Yg,55,5
UC2yq41wib1MOacBef2crlbw,37,24
UC2zuipdDU9Dp5FFPtZ-y3rQ,34,24
UC3-8wdy7KcSa5KloEm0vp9A,34,3
UC305byCobfeNGA4XEZQmnLQ,26,2
UC362wXiUbL4_okVgEPdHqmQ,27,20
UC3DFdy_qc-cqgKCyQTHLGzA,62,42
UC3ITEPB1plAEtHf5Cm8nQLA,23,15
UC3IZKseVpdzPSBaWxBxundA,35,10
UC3K_V0FgEq_6SuA6X54z3GQ,39,27
UC3N5y6UWKJaKqoU2b_0MfTQ,26,15
UC3NJVkGUkPwvWwWpQG-67Ag,30,15
UC3OOIib8F59y4qzSjKiZZ3A,18,4
UC3Rkc5AnVil_2qt6IwEEXaw,28,0
UC3SM8yOKKwU8PYqwsNP5rGA,36,21
UC3VWbWk8qDBiF0741izgpQg,64,38
UC3XTzVzaHQEd30rQbuvCtTQ,29,19
UC3c8H4Tlnm5M6pXsVMGnmNg,26,21
UC3ifTl5zKiCAhHIBQYcaTeg,28,9
UC3iwxKMRg5l2aDG_8XK2nSQ,29,13
UC3plrhJApuJ_uapz_AMf7tw,26,14
UC3qp2FCeaQ5HhA3jHWHbrxg,33,30
UC3rrzHpFzshYjIMk8YFc52w,24,12
UC3xZYc4SZUGfRERIvDRGqDQ,29,22
UC3yrASSnYnr1rPvTUmU-Qzg,49,17
UC415bOPUcGSamy543abLmRA,122,83
UC42pOSNg804f1wCcj7qL0mA,191,130
UC46vj6mN-6kZm5RYWWqebsg,54,40
UC4BzfoDeAwqdNckkp0htOuQ,101,73
UC4C6jpQu4eChkMwaWuaQvSA,12,9
UC4CAxaO75mfkPr3GRiSGE_w,26,17
UC4CepjymvDjsas2g05GxtPw,25,18
UC4DLvb5xZ9OLcVM1KC_R97g,32,5
UC4ELmvRt24gNmbeS3EqDkNg,6,2
UC4JX40jDee_tINbkjycV4Sg,64,47
UC4KyTCx8kpTwoyqbRoOFnVA,32,5
UC4NtCXEWUj3mu-4n7TUxA2w,31,11
UC4QZ_LsYcvcq7qOsOhpAX4A,34,23
UC4SVo0Ue36XCfOyb5Lh1viQ,55,28
UC4UWbQ23IbWwU-XG7XIWxvQ,27,16
UC4XJeGGdXj0vA4CxDDJ8J_A,20,11
UC4XrBtU7fwDmR15GML18KcQ,28,17
UC4a-Gbdw7vOaccHmFo40b9g,33,23
UC4eegkSVzV56kTrSpvL6BKQ,39,28
UC4gD0czpXVv_LpADTSU624g,63,43
UC4hwR9831LIKr9wKQOO_ZYA,36,5
UC4ijq8Cg-8zQKx8OH12dUSw,32,21
UC4kronjAGs7kTc9vH3BWK2Q,57,30
UC4lnpEse_SnqheLmcbbumig,49,38
UC4lp9Emg1ci8eo2eDkB-Tag,111,71
UC4qGmRZ7aLOLfVsSdj5Se2A,55,33
UC4rZpoEdeFLF4x9walsyoSw,31,16
UC4rlAVgAK0SGk-yTfe48Qpw,43,27
UC4sEmXUuWIFlxRIFBRV6VXQ,19,16
UC4uJlNGyJgcuBXeFpo2Wxew,37,15
UC4ukq--KwuB31q3VyNs_BdA,27,23
UC4vT3qTr8fwVS7IsPgqaGCQ,26,11
UC4wOd-OGys-RKbv9FYFGRvA,106,82
UC4xHcg7a7hMoHgXerjRKiyA,21,12
UC4zNtKX3XTplYQWNFPorvXQ,31,14
UC505hkZmukH32DjoqkPA8UQ,47,39
UC515BDgBYXCc22q6lMENU-g,18,9
UC52kszkc08-acFOuogFl5jw,47,34
UC55HiTglyGMk1B33Lx9X7CQ,9,9
